"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Fscan";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.11";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.11;233895.918627384;250814.107251256;319926.210806423;403102.49042304;431029.40260305;324419.988470648;293543.208080447;34507.7869397008;0.964489498705264;0.6146;0.0038;0.905;0.015;0.756;0.007;3.073;2.9165;NA;0.019;0.019;2021;0;0;0;0.090571860591094;0.115930903026135;0.173355780035515;25301.6271805268;35026.0495046605;54744.9876234273;36830.781132179;7234.73260428555;6114.20371858675;0.9604212163646
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.12";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.12;229440.54707667;246137.073756115;316684.324520119;400031.921097736;427769.789635264;320886.937450516;288553.339052297;35232.7898379236;0.960303918151016;0.6326;0.0068;0.913;0.024;0.778;0.013;3.163;3.027;NA;0.034;0.033;2021;0;0;0;0.0986488497309925;0.12663978272012;0.189882265723407;26970.5145285436;37638.8245219016;59128.8307038997;39588.3273035528;7981.4575331684;6657.62464011056;0.956493223458422
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.13";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.13;224687.664335067;241466.978243228;313214.484360402;397831.078023397;425915.169999382;317424.097418993;283404.989351518;35973.2545750309;0.956177551551318;0.65;0.0102;0.931;0.033;0.804;0.019;3.25;3.109;NA;0.051;0.051;2021;0;0;0;0.106483767641333;0.137431549899952;0.206605961891813;28552.6318488833;40150.8196277107;63529.6317052062;42261.9860872826;8745.465603299;7200.961391523;0.952634502796015
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.14";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.14;220292.824415918;237009.136493229;310012.749160538;395511.810777105;423015.380184002;314026.202928284;278024.28307881;36719.5115483945;0.952092513720324;0.6648;0.0142;0.94;0.047;0.821;0.026;3.324;3.1865;NA;0.071;0.07;2021;0;0;0;0.114487674572614;0.148168495303093;0.223225538874196;30071.1165810099;42628.8017831212;67867.1454765988;44854.6147951488;9526.61185165127;7744.10318733262;0.948839499922274
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.15";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.15;215680.988638213;232663.673876645;306921.586249751;393401.092151194;420510.659972744;310696.665036207;272915.060316295;37465.9462160718;0.948067413760049;0.6806;0.018;0.946;0.059;0.842;0.033;3.403;3.273;NA;0.09;0.089;2021;0;0;0;0.122197051161565;0.158997930951222;0.240022553237242;31393.4478390959;44952.5341458282;72002.7907952443;47369.3041790211;10324.4014990819;8288.23846854308;0.945120096733664
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.16";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.16;211092.072335552;228141.276715581;303413.6422;391034.189730355;418826.437225219;307431.611275733;268111.10763236;38219.9908678439;0.944089067452062;0.697;0.025;0.959;0.081;0.86;0.047;3.485;3.3645;NA;0.125;0.125;2021;0;0;0;0.129965170343639;0.16991053446368;0.257609525829795;32654.6458034353;47285.6271220927;76204.8028339828;49808.7474029172;11138.4203097881;8833.92328747423;0.94147418685543
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.17";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.17;206848.510219814;223712.333848996;300386.105006173;389300.935986867;417025.574192652;304228.843520293;263874.858798845;38982.6430614713;0.940159648872184;0.7098;0.0298;0.966;0.097;0.882;0.062;3.549;3.436;NA;0.149;0.149;2021;0;0;0;0.137707266868523;0.180805958546938;0.274854767593427;33846.7474033979;49469.4921372523;80235.8261475854;52175.4306126679;11968.2418149289;9382.59541925793;0.937894188520037
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.18";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.18;202613.134652556;219420.668397837;296920.367134219;387233.426620389;415793.906504458;301087.082588496;259480.475694463;39742.7045010849;0.936282584801692;0.7218;0.036;0.97;0.118;0.893;0.078;3.609;3.488;NA;0.18;0.178;2021;0;0;0;0.145518790897372;0.191700631864794;0.292683676080379;35001.2856398351;51678.1347140632;84224.3630266094;54471.8098540955;12813.4191929591;9933.58009387531;0.934378657246589
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.19";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.19;198461.830303707;215419.957568061;293711.192936943;385393.287943705;414070.38099463;297999.936872555;255403.663348036;40504.1700473984;0.932433465092195;0.7318;0.0454;0.975;0.148;0.902;0.104;3.659;3.541;NA;0.227;0.223;2021;0;0;0;0.153468129538249;0.202716693470656;0.310885868025836;35997.818269361;53751.6255584857;88052.7260474545;56700.0564861446;13673.531508456;10485.822604231;0.930917147226118
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.2";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.2;194337.370002932;211034.061694743;290670.529993289;384245.70171474;413309.496211109;294962.904091827;251222.258399984;41260.4727744508;0.928593695487694;0.7402;0.0566;0.979;0.173;0.911;0.123;3.701;3.583;NA;0.283;0.277;2021;0;0;0;0.161066355826193;0.213795070978718;0.329143072019873;36956.3189837807;55707.3960957907;91989.3864972253;58862.3367042452;14548.1056269327;11041.8060390342;0.927505257653098
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.21";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.21;189452.43628197;207322.594006521;287383.962216976;382226.458465613;411037.342555175;291974.581726831;246562.58412436;42020.6834061063;0.924763117284531;0.7518;0.0646;0.983;0.196;0.92;0.141;3.759;3.645;NA;0.323;0.317;2021;0;0;0;0.168800243895907;0.224940819051844;0.346864675169861;37890.1127814051;57617.4979167929;95954.8427025251;60960.769234951;15436.5653769818;11601.3943552927;0.924138797329973
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.22";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.22;185087.986597281;203069.242536743;284677.217297892;380665.630366965;409244.34265165;289033.290429039;242281.615265361;42773.2111680469;0.92094103525149;0.7588;0.0754;0.986;0.228;0.926;0.16;3.794;3.6815;NA;0.377;0.371;2021;0;0;0;0.176365331672556;0.236184485069191;0.365087231217702;38708.2071285809;59475.7188085326;99638.4693746991;62996.7849240186;16337.342144006;12161.2183487371;0.920810377955113
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.23";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.23;180681.967103622;199060.624860051;281513.98525394;379123.826014226;407966.326648412;286138.430065533;237735.746070241;43515.7485368623;0.917123726388442;0.7658;0.0898;0.987;0.268;0.933;0.191;3.829;3.7125;NA;0.449;0.445;2021;0;0;0;0.184234789152011;0.247419591775836;0.383290554389273;39467.6219750367;61363.8867380326;103325.592868039;64972.2543406927;17249.3853746616;12720.7008167958;0.917524017564967
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.24";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.24;176458.33385718;195187.179236163;278362.385052721;377274.951959547;407333.469868044;283280.647338105;233570.335248601;44249.5256796192;0.91327273454325;0.7738;0.1046;0.991;0.305;0.94;0.218;3.869;3.7615;NA;0.523;0.514;2021;0;0;0;0.191571195757937;0.258662062927358;0.402919641246725;40087.5351746499;63090.7267924088;107062.139306408;66889.5138620796;18173.9105204704;13287.8628689634;0.914271501641682
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.25";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.25;172602.46779445;191079.399439334;275281.70212509;376084.505838189;405833.534113072;280463.023614002;229200.312213397;44979.0510402728;0.909399640494907;0.7818;0.1184;0.993;0.334;0.949;0.251;3.909;3.805;NA;0.592;0.582;2021;0;0;0;0.199367508248368;0.270095079500253;0.42307568960868;40775.0576920394;64799.0279993559;110532.602016921;68750.7215900329;19110.0837240467;13857.3579275476;0.911060935544385
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.26";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.26;168425.439556741;187273.240583203;272404.322051834;374686.523383903;404795.545924256;277687.07450221;225078.720792661;45707.0742891613;0.905518800875081;0.7884;0.1334;0.995;0.37;0.954;0.283;3.942;3.845;NA;0.667;0.658;2021;0;0;0;0.207013054760315;0.281656986684413;0.44323895568012;41308.1702348574;66458.7127938142;114093.262470328;70557.0133132832;20056.0499755095;14429.7010879989;0.907889499170315
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.27";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.27;164147.393386021;183674.887662954;269336.622563399;373420.314197801;402991.52869603;274951.777574022;221098.203181528;46427.1271159795;0.901622682297449;0.796;0.1474;0.997;0.401;0.96;0.314;3.98;3.8905;NA;0.737;0.729;2021;0;0;0;0.214625612726091;0.293270772893071;0.463310414975714;41820.9730325336;67988.3421401055;117870.287873914;72309.4005538435;21009.8165799043;15005.4716997492;0.904753896219984
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.28";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.28;159998.848203943;179995.801930419;266464.683566754;372314.557557261;402232.927457093;272250.91969633;217320.15274268;47133.263092323;0.897685379511842;0.801;0.1642;0.998;0.437;0.964;0.346;4.005;3.9165;NA;0.821;0.811;2021;0;0;0;0.222381935336902;0.305209283299482;0.483576481048834;42341.1343642631;69503.3993003342;121262.552328262;74009.3809611356;21971.8310677427;15587.2458015615;0.901642708148448
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.29";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.29;155505.373833995;176085.283082268;263376.984457262;371909.751115025;401233.772775748;269582.086761189;213654.551910928;47829.3879427607;0.89369895329894;0.8038;0.1786;0.998;0.463;0.965;0.367;4.019;3.936;NA;0.893;0.8795;2021;0;0;0;0.230070485478338;0.317039427906452;0.502759358117155;42644.750970788;71104.5964836865;124567.114631145;75658.9823621586;22942.8015860147;16175.7215200542;0.898554851106934
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.3";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.3;150565.916281909;172217.661591584;260603.521713094;371181.439912349;400096.352595586;266942.791484496;209441.91766651;48514.8688753212;0.889661280618354;0.8086;0.1954;0.998;0.498;0.969;0.396;4.043;3.9605;NA;0.977;0.96;2021;0;0;0;0.237658653500278;0.329049006090931;0.524345550520293;43007.6773676931;72625.1090421601;128169.216603949;77259.931527778;23923.209491942;16766.3572920038;0.895487822128718
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.31";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.31;146004.329047408;168457.442593833;257540.152019547;370621.369421918;399468.142983145;264339.891863677;206012.343810494;49190.6678947052;0.885592480534908;0.8114;0.2076;0.999;0.52;0.973;0.422;4.057;3.979;NA;1.038;1.0265;2021;0;0;0;0.245368642794532;0.340966296195175;0.546128687228078;43300.945080438;73982.8954933104;131517.388023285;78812.5926347204;24908.7954812016;17363.0643753917;0.892449506924862
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.32";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.32;141283.991937104;164340.184995082;254752.1605357;369879.459164714;398413.754762487;261775.484635291;202003.142864193;49859.0698290865;0.881501491340001;0.8146;0.2228;0.999;0.552;0.974;0.457;4.073;4.0015;NA;1.114;1.1015;2021;0;0;0;0.253002003590161;0.352942165796184;0.567974157183931;43566.6407259332;75271.0858573536;134694.484368773;80318.4370795643;25898.4787473407;17964.4188863983;0.88942708164125
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.33";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.33;137086.985121202;160312.153724347;251858.975316077;368836.788111082;398273.301015475;259253.653290958;198130.441989851;50518.261865085;0.877405597385797;0.8186;0.2386;0.999;0.585;0.976;0.484;4.093;4.0275;NA;1.193;1.1805;2021;0;0;0;0.260668984820659;0.364941509176855;0.589164630138294;43806.8543804268;76404.064495439;137668.694791578;81777.8182964202;26889.4332620303;18568.3771266607;0.88643445957502
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.34";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.34;132564.179944233;156427.801132877;249095.773309141;367736.985736613;397485.148974529;256765.256487757;194008.845308363;51170.3987567727;0.873274125495975;0.8222;0.2532;1;0.616;0.977;0.518;4.111;4.047;NA;1.266;1.2485;2021;0;0;0;0.268032580556052;0.377334626778465;0.612662286412696;43993.5771441644;77588.4403007539;140977.379421313;83192.6006637602;27884.499426977;19175.6851732259;0.883462347819866
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.35";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.35;128584.223987292;152831.479725723;246134.205586889;367049.905813185;397322.567993297;254321.745579511;190601.715444271;51812.2408478505;0.869153949539759;0.8256;0.2634;1;0.634;0.98;0.53;4.128;4.062;NA;1.317;1.3;2021;0;0;0;0.27563912808118;0.389682977788192;0.634976115348361;44085.2417422335;78709.1062521367;144312.506148081;84562.2230408908;28876.9839413501;19782.8108952635;0.880522547162313
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.36";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.36;124849.371698108;148967.983355048;243540.227878764;366304.883561265;396079.435014063;251913.286776003;187283.147160534;52442.115575721;0.865007252640407;0.8288;0.277;1;0.657;0.98;0.556;4.144;4.084;NA;1.385;1.3675;2021;0;0;0;0.283490228410728;0.402008490701627;0.658447858828279;44098.8439535645;79808.2591501691;147030.725925777;85889.4179018324;29870.8754381917;20392.7637329334;0.877609968518436
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.37";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.37;120887.461680324;145302.808751007;240364.555912667;365733.231597924;394887.817887969;249546.196824869;183708.546490144;53061.9473325721;0.860853556620635;0.8332;0.2914;1;0.679;0.984;0.58;4.166;4.1075;NA;1.457;1.4375;2021;0;0;0;0.291177381376178;0.414571388465003;0.682099047333103;44042.9563659844;80928.6458886698;149780.654207381;87175.7674459679;30863.8023126517;21006.9503203371;0.874733633272653
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.38";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.38;117204.382801256;141867.636674787;237657.069885429;365557.669560704;394137.463903522;247216.744018435;179941.028454786;53673.2632056424;0.856684261050027;0.8342;0.306;1;0.702;0.985;0.601;4.171;4.1135;NA;1.53;1.5105;2021;0;0;0;0.298979799492896;0.427137874683994;0.709590153351322;44235.0454171709;81968.196974557;152293.177141161;88421.0794637025;31855.4227983703;21626.0030546312;0.871882453340687
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.39";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.39;113587.45051939;138475.082960618;235166.919249489;364570.366212188;393819.430296631;244933.328930781;176806.346144723;54275.2048295806;0.852514914728768;0.837;0.3214;1;0.731;0.988;0.629;4.185;4.134;NA;1.607;1.5865;2021;0;0;0;0.306926610397086;0.439867129712851;0.735818241645649;44179.3532885329;82907.9915209514;155124.925007405;89625.1104935747;32839.829858711;22245.1035660787;0.869060973685401
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.4";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.4;110485.987153574;134847.369430115;232478.774970336;363722.227867155;393150.436533722;242689.822138246;173345.06624589;54868.9981192775;0.848338530200105;0.8398;0.3356;1;0.746;0.988;0.643;4.199;4.1505;NA;1.678;1.6565;2021;0;0;0;0.314705125369489;0.452751657817004;0.762621119487112;44236.1931193237;83811.2975301655;158137.412542338;90789.5106736581;33819.6568363243;22861.8811083241;0.866271438195379
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.41";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.41;106995.117763947;131648.274027225;229881.675065698;362971.535332343;392654.424101935;240480.361164048;169703.085056913;55460.9530368089;0.844141186914171;0.8418;0.3492;1;0.763;0.989;0.664;4.209;4.162;NA;1.746;1.721;2021;0;0;0;0.32245400644261;0.466059227878778;0.788938570577458;44200.7206358041;84648.7291102629;161076.266586493;91915.5319741377;34797.8634740641;23484.6154280202;0.86352083965826
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.42";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.42;103935.55168352;128442.911592448;227184.862688413;362392.432781825;392565.147143171;238314.931440295;166265.507495202;56045.257789076;0.839953712233723;0.8442;0.3616;1;0.777;0.991;0.681;4.221;4.177;NA;1.808;1.7815;2021;0;0;0;0.329694688812031;0.47954529830535;0.814534745070108;44153.9805846213;85405.5926813889;163973.211240872;93003.4861413218;35768.8844034129;24110.2736370182;0.860811270968363
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.43";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.43;101562.1187345;125259.451252033;224623.634832941;361582.184196687;392554.161450258;236192.951933571;163188.726132643;56619.7095530344;0.835766097140874;0.8458;0.3772;1;0.799;0.991;0.7;4.229;4.187;NA;1.886;1.862;2021;0;0;0;0.336843449257057;0.492723652304821;0.842016180058698;44035.5485430429;86212.7381745726;166395.732703411;94053.3562070318;36730.0424288412;24738.3088711841;0.858139636115007
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.44";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.44;98896.616056482;122560.984238917;222236.002371403;360700.568027291;392048.308426365;234092.975392496;159614.797220292;57185.3257849458;0.831531837209835;0.8478;0.3894;1;0.815;0.992;0.714;4.239;4.2005;NA;1.947;1.92;2021;0;0;0;0.344431457687551;0.506227116694762;0.873698277139911;43858.7419874263;86906.9191546143;169258.230273645;95069.5389460996;37693.230492888;25367.0133352116;0.855458087800397
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.45";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.45;96350.9579788061;119523.308174799;219641.805278054;360373.876379943;391514.029276775;232027.727774199;156486.290791551;57742.7420656896;0.827287098450384;0.8494;0.4;1;0.819;0.992;0.727;4.247;4.2115;NA;2;1.974;2021;0;0;0;0.3518969512196;0.519799379574872;0.901502670181915;43752.6207633696;87559.86843637;171759.349102845;96053.1036815408;38654.1452122439;26001.9854253905;0.852797965258518
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.46";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.46;93888.4133104083;116367.222398689;217227.60256081;359872.946188646;391468.890453669;230000.283426037;153794.047469523;58296.3692344651;0.823048827513926;0.8502;0.4116;1;0.829;0.993;0.741;4.251;4.2155;NA;2.058;2.0365;2021;0;0;0;0.35952399745198;0.534260494190235;0.933507252805906;43598.2246133521;88272.8441824354;173731.24133514;97003.4003736634;39610.4724358254;26644.9949480281;0.85016303269385
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.47";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.47;91485.6110961807;113817.605180814;214446.135000644;359320.298395512;391076.51169408;228005.891230176;150682.516277105;58844.9856568272;0.818805855308227;0.8522;0.425;1;0.841;0.994;0.764;4.261;4.227;NA;2.125;2.1005;2021;0;0;0;0.366599648642392;0.548465132093635;0.967483803886862;43363.565615904;89038.4533175308;176624.283751273;97922.6411474016;40565.2948969345;27293.1005538241;0.847533221231405
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.48";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.48;89465.5582996459;111480.72244505;211891.799489735;359048.855437649;391076.51169408;226057.22460346;147627.090757881;59388.4899594744;0.814589283915913;0.8538;0.435;1;0.853;0.994;0.779;4.269;4.2345;NA;2.175;2.154;2021;0;0;0;0.373964905858367;0.56263562533362;1.00271763885805;43322.6081716451;89758.7477750062;178903.531264706;98809.8631906878;41508.0581425981;27935.6355726351;0.844925359134215
